specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Dolichoderus_debilis_CASENT0744349_processed.obj,leg_distal,822,0.007707905489951372,0.020993235427886246,0.1705252081155777,0.029316945001482964
Dolichoderus_decollatus_CASENT0744046_processed.obj,body,2611,0.004831216763705015,0.01091707218438387,0.19824695587158203,0.0233895443379879
Dolichoderus_decollatus_CASENT0744046_processed.obj,head,2174,0.0021593854762613773,0.006461445195600381,0.02131069451570511,0.013795304112136364
Dolichoderus_decollatus_CASENT0744046_processed.obj,antenna,362,0.010244378820061684,0.028747862949967378,0.08241427689790726,0.02948143519461155
Dolichoderus_decollatus_CASENT0744046_processed.obj,mandible,379,0.011515663005411625,0.04031747207045554,0.13533946871757507,0.03916981443762779
Dolichoderus_decollatus_CASENT0744046_processed.obj,leg,3887,0.0043927268125116825,0.010775189008563755,0.2675020098686218,0.01851777732372284
Dolichoderus_decollatus_CASENT0744046_processed.obj,leg_distal,822,0.007119636982679367,0.023583855852484653,0.20417636632919312,0.02510187216103077
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,body,2611,0.005667723715305328,0.01699417643249035,0.11896558105945587,0.02318662591278553
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,head,2174,0.0018531755777075887,0.005824628169648348,0.019738096743822098,0.011584252119064331
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,antenna,362,0.019466599449515343,0.07891613841056822,0.19407789409160614,0.038071900606155396
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,mandible,379,0.010341407731175423,0.031008053012192244,0.10078851133584976,0.03772444278001785
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,leg,3887,0.003957318142056465,0.009895706363022323,0.0943591296672821,0.017517687752842903
Dolichoderus_quadripunctatus_CASENT0745213_processed.obj,leg_distal,822,0.004470651037991047,0.011788745457306503,0.1497332751750946,0.016181711107492447
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,body,2611,0.004276896361261606,0.01154356449842453,0.03483967483043671,0.02302207052707672
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,head,2174,0.002194562926888466,0.005406897375360128,0.024806516245007515,0.01460369024425745
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,antenna,362,0.003717394545674324,0.007393691618926822,0.01752915047109127,0.016662131994962692
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,mandible,379,0.003115686122328043,0.007537702377885576,0.05300741270184517,0.016994336619973183
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,leg,3887,0.0035832375288009644,0.008580465801060193,0.12670013308525085,0.015220299363136292
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,leg_distal,822,0.003587125800549984,0.010611456586047972,0.11397463083267212,0.013356266543269157
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,body,2611,0.003128922078758478,0.008219078183174133,0.03216582164168358,0.02182057686150074
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,head,2174,0.0019238181412220001,0.005030070524662727,0.02104373648762703,0.015794428065419197
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,antenna,362,0.003779465099796653,0.010161461262032382,0.029949529096484184,0.016462326049804688
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,mandible,379,0.0039023340214043856,0.00915208961814642,0.057311661541461945,0.018265467137098312
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,leg,3887,0.0029503866098821163,0.00725461826659739,0.06355105340480804,0.014619987457990646
Dolichoderus_quadripunctatus_CASENT0878130_processed.obj,leg_distal,822,0.003828631481155753,0.009968241536989804,0.12561103701591492,0.011973547749221325
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,body,2611,0.002747737802565098,0.0069957037921994925,0.029791992157697678,0.022200779989361763
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,head,2174,0.0017729183891788125,0.004679185338318347,0.021554676815867424,0.01584000512957573
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,antenna,362,0.004075463395565748,0.00927390665747225,0.020300516858696938,0.017162859439849854
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,mandible,379,0.004049666225910187,0.009605882968753574,0.1114334836602211,0.018987854942679405
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,leg,3887,0.0035785771906375885,0.008707960322499273,0.10258807986974716,0.015787776559591293
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,leg_distal,822,0.002786216326057911,0.006173995579592883,0.07926275581121445,0.010055066086351871
Dolichoderus_sibiricus_OKENT0105315_processed.obj,body,2611,0.004041752777993679,0.011660981923341751,0.0799349695444107,0.01993093267083168
Dolichoderus_sibiricus_OKENT0105315_processed.obj,head,2174,0.002427514409646392,0.006427920935675502,0.051211193203926086,0.012199213728308678
