specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Poneracantha_triangularis_CASENT0744463_processed.obj,leg,3887,0.004312226083129644,0.010207648389041413,0.12798044085502625,0.01953105814754963
Poneracantha_triangularis_CASENT0744463_processed.obj,leg_distal,822,0.005800802726298571,0.016719731129705904,0.10861577838659286,0.02140101231634617
Poneracantha_triangularis_CASENT0744645_processed.obj,body,2611,0.004756137728691101,0.012756077572703362,0.0703657791018486,0.017960911616683006
Poneracantha_triangularis_CASENT0744645_processed.obj,head,2174,0.002213613595813513,0.005182633409276602,0.017761336639523506,0.011729246936738491
Poneracantha_triangularis_CASENT0744645_processed.obj,antenna,362,0.003280010772868991,0.0064109115628525615,0.013524985872209072,0.008421368896961212
Poneracantha_triangularis_CASENT0744645_processed.obj,mandible,379,0.0034463421907275915,0.009118637442588794,0.04228534176945686,0.010647909715771675
Poneracantha_triangularis_CASENT0744645_processed.obj,leg,3887,0.004626958165317774,0.011713374964892857,0.13582411408424377,0.014756763353943825
Poneracantha_triangularis_CASENT0744645_processed.obj,leg_distal,822,0.0031664627604186535,0.007129818154498933,0.024995721876621246,0.009564698673784733
Ponerinae_sp._CASENT0745560_processed.obj,body,2611,0.005422560032457113,0.013266992289572954,0.13294559717178345,0.02355821244418621
Ponerinae_sp._CASENT0745560_processed.obj,head,2174,0.0021177518647164106,0.005657241400331257,0.01899927295744419,0.013692139647901058
Ponerinae_sp._CASENT0745560_processed.obj,antenna,362,0.010702487081289291,0.029853617213666413,0.09229843318462372,0.02829178050160408
Ponerinae_sp._CASENT0745560_processed.obj,mandible,379,0.010257702320814133,0.029087481275200836,0.09127897769212723,0.040404871106147766
Ponerinae_sp._CASENT0745560_processed.obj,leg,3887,0.006418787408620119,0.015554901957511899,0.28938087821006775,0.02395549602806568
Ponerinae_sp._CASENT0745560_processed.obj,leg_distal,822,0.010334309190511703,0.028844801709055873,0.24001115560531616,0.026383457705378532
