condition,magnitude_target_deg,specimen,achieved_err_all_deg,achieved_err_proximal_deg,achieved_err_distal_deg,donor_or_seed
distal,15.0,synth_011,14.491237356778605,8.094360109582379,20.88811460397483,0
distal,23.0,synth_000,21.99233769691515,12.067264713957154,31.917410679873147,0
distal,23.0,synth_001,22.45130784004814,11.314975416892139,33.58764026320415,0
distal,23.0,synth_002,23.98076960170892,10.445969959445705,37.51556924397213,0
distal,23.0,synth_003,25.13208572349471,11.318470371303965,38.94570107568545,0
distal,23.0,synth_004,22.487561935486728,11.758353040103026,33.21677083087043,0
distal,23.0,synth_005,21.98667887333349,11.74201501597174,32.23134273069524,0
distal,23.0,synth_006,20.931518746406482,11.06727190463249,30.795765588180465,0
distal,23.0,synth_007,23.222941103418414,11.643676412354873,34.80220579448195,0
distal,23.0,synth_008,23.462088757839602,10.665561874558044,36.25861564112117,0
distal,23.0,synth_009,23.628808819995818,12.282172139799707,34.97544550019193,0
distal,23.0,synth_010,23.843440841003794,12.52191180213272,35.164969879874874,0
distal,23.0,synth_011,22.219897280393866,12.411352168026317,32.028442392761406,0
distal,30.0,synth_000,28.6856578655415,15.739910496465853,41.63140523461715,0
distal,30.0,synth_001,29.28431457397584,14.758663587250611,43.809965560701066,0
distal,30.0,synth_002,31.2792646978812,13.625178207972658,48.93335118778973,0
distal,30.0,synth_003,32.78098137847136,14.763222223439953,50.798740533502766,0
distal,30.0,synth_004,29.331602524547904,15.33698222622134,43.32622282287446,0
distal,30.0,synth_005,28.678276791304555,15.31567175996314,42.04088182264596,0
distal,30.0,synth_006,27.301980973573663,14.435572049520637,40.16838989762669,0
distal,30.0,synth_007,30.290792743589236,15.187404016115048,45.39418147106342,0
distal,30.0,synth_008,30.60272446674731,13.911602445075708,47.293846488418914,0
distal,30.0,synth_009,30.82018541738585,16.020224530173532,45.62014630459818,0
distal,30.0,synth_010,31.100140227396253,16.33292843756442,45.867352017228086,0
distal,30.0,synth_011,28.98247471355721,16.188720219164757,41.77622920794966,0
coherent,15.0,synth_000,12.430313244803195,12.430313244803195,0.0,0
coherent,15.0,synth_001,14.148800521798021,14.148800521798021,0.0,0
coherent,15.0,synth_002,16.720582147943855,16.720582147943855,0.0,0
coherent,15.0,synth_003,13.791175588568924,13.791175588568924,0.0,0
coherent,15.0,synth_004,15.39492118858026,15.39492118858026,0.0,0
coherent,15.0,synth_005,16.36534403232045,16.36534403232045,0.0,0
coherent,15.0,synth_006,15.810181003236009,15.810181003236009,0.0,0
coherent,15.0,synth_007,15.500106355830695,15.500106355830695,0.0,0
coherent,15.0,synth_008,14.179862377504612,14.179862377504612,0.0,0
coherent,15.0,synth_009,13.986939774439003,13.986939774439003,0.0,0
coherent,15.0,synth_010,16.517255337162016,16.517255337162016,0.0,0
coherent,15.0,synth_011,12.09161147428057,12.09161147428057,0.0,0
coherent,23.0,synth_000,19.059813642031568,19.059813642031568,0.0,0
coherent,23.0,synth_001,21.694827466756966,21.694827466756966,0.0,0
coherent,23.0,synth_002,25.63822596018058,25.63822596018058,0.0,0
coherent,23.0,synth_003,21.146469235805682,21.146469235805682,0.0,0
coherent,23.0,synth_004,23.60554582248973,23.60554582248973,0.0,0
coherent,23.0,synth_005,25.093527516224693,25.093527516224693,0.0,0
coherent,23.0,synth_006,24.242277538295216,24.242277538295216,0.0,0
coherent,23.0,synth_007,23.766829745607065,23.766829745607065,0.0,0
coherent,23.0,synth_008,21.742455645507075,21.742455645507075,0.0,0
coherent,23.0,synth_009,21.446640987473135,21.446640987473135,0.0,0
coherent,23.0,synth_010,25.326458183648427,25.326458183648427,0.0,0
coherent,23.0,synth_011,18.540470927230206,18.540470927230206,0.0,0
coherent,30.0,synth_000,24.86062648960639,24.86062648960639,0.0,0
coherent,30.0,synth_001,28.297601043596043,28.297601043596043,0.0,0
coherent,30.0,synth_002,33.44116429588771,33.44116429588771,0.0,0
coherent,30.0,synth_003,27.58235117713785,27.58235117713785,0.0,0
coherent,30.0,synth_004,30.78984237716052,30.78984237716052,0.0,0
