iteration,specimen,k,n_touched,coverage_fraction
15,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2832,0.27685990929603577
15,Acromyrmex_coronatus_CASENT0744365_processed,3,3129,0.30589500069618225
15,Solenopsis_invicta_CASENT0744384_processed,3,823,0.08045752346515656
15,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3798,0.37129729986190796
15,Acromyrmex_coronatus_CASENT0744365_processed,5,4012,0.3922182023525238
15,Solenopsis_invicta_CASENT0744384_processed,5,1212,0.11848665028810501
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2389,0.23355166614055634
16,Acromyrmex_coronatus_CASENT0744365_processed,2,2697,0.2636621296405792
16,Solenopsis_invicta_CASENT0744384_processed,2,603,0.058950044214725494
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2933,0.28673380613327026
16,Acromyrmex_coronatus_CASENT0744365_processed,3,3130,0.3059927523136139
16,Solenopsis_invicta_CASENT0744384_processed,3,792,0.07742692530155182
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3974,0.3885032832622528
16,Acromyrmex_coronatus_CASENT0744365_processed,5,3990,0.390067458152771
16,Solenopsis_invicta_CASENT0744384_processed,5,1189,0.11623814702033997
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2425,0.23707106709480286
17,Acromyrmex_coronatus_CASENT0744365_processed,2,2639,0.2579919695854187
17,Solenopsis_invicta_CASENT0744384_processed,2,597,0.058363474905490875
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2962,0.28956887125968933
17,Acromyrmex_coronatus_CASENT0744365_processed,3,3091,0.30218008160591125
17,Solenopsis_invicta_CASENT0744384_processed,3,784,0.07664483040571213
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3974,0.3885032832622528
17,Acromyrmex_coronatus_CASENT0744365_processed,5,3977,0.38879653811454773
17,Solenopsis_invicta_CASENT0744384_processed,5,1175,0.11486949026584625
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2400,0.23462703824043274
18,Acromyrmex_coronatus_CASENT0744365_processed,2,2636,0.2576986849308014
18,Solenopsis_invicta_CASENT0744384_processed,2,644,0.0629582554101944
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2908,0.28428974747657776
18,Acromyrmex_coronatus_CASENT0744365_processed,3,3096,0.30266886949539185
18,Solenopsis_invicta_CASENT0744384_processed,3,865,0.0845634937286377
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3817,0.37315475940704346
18,Acromyrmex_coronatus_CASENT0744365_processed,5,4018,0.3928047716617584
18,Solenopsis_invicta_CASENT0744384_processed,5,1320,0.12904487550258636
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2466,0.24107928574085236
19,Acromyrmex_coronatus_CASENT0744365_processed,2,2613,0.25545018911361694
19,Solenopsis_invicta_CASENT0744384_processed,2,650,0.06354482471942902
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3010,0.2942613959312439
19,Acromyrmex_coronatus_CASENT0744365_processed,3,3084,0.3014957308769226
19,Solenopsis_invicta_CASENT0744384_processed,3,871,0.08515006303787231
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4042,0.3951510488986969
19,Acromyrmex_coronatus_CASENT0744365_processed,5,4013,0.39231595396995544
19,Solenopsis_invicta_CASENT0744384_processed,5,1330,0.13002248108386993
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2451,0.2396128624677658
20,Acromyrmex_coronatus_CASENT0744365_processed,2,2688,0.2627822756767273
20,Solenopsis_invicta_CASENT0744384_processed,2,651,0.06364258378744125
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2983,0.2916218638420105
20,Acromyrmex_coronatus_CASENT0744365_processed,3,3180,0.3108808100223541
20,Solenopsis_invicta_CASENT0744384_processed,3,872,0.08524782210588455
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3992,0.3902629613876343
20,Acromyrmex_coronatus_CASENT0744365_processed,5,4176,0.4082510471343994
20,Solenopsis_invicta_CASENT0744384_processed,5,1327,0.12972919642925262
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2438,0.23834197223186493
21,Acromyrmex_coronatus_CASENT0744365_processed,2,2743,0.2681591510772705
21,Solenopsis_invicta_CASENT0744384_processed,2,644,0.0629582554101944
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3001,0.29338157176971436
21,Acromyrmex_coronatus_CASENT0744365_processed,3,3255,0.31821292638778687
21,Solenopsis_invicta_CASENT0744384_processed,3,862,0.08427020907402039
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4116,0.4023853540420532
21,Acromyrmex_coronatus_CASENT0744365_processed,5,4240,0.41450777649879456
21,Solenopsis_invicta_CASENT0744384_processed,5,1325,0.12953367829322815
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2424,0.23697330057621002
22,Acromyrmex_coronatus_CASENT0744365_processed,2,2833,0.2769576609134674
22,Solenopsis_invicta_CASENT0744384_processed,2,623,0.06090526655316353
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2980,0.2913285791873932
22,Acromyrmex_coronatus_CASENT0744365_processed,3,3356,0.328086793422699
22,Solenopsis_invicta_CASENT0744384_processed,3,824,0.08055528253316879
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4084,0.39925700426101685
22,Acromyrmex_coronatus_CASENT0744365_processed,5,4346,0.42487046122550964
22,Solenopsis_invicta_CASENT0744384_processed,5,1242,0.12141948938369751
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2415,0.2360934615135193
23,Acromyrmex_coronatus_CASENT0744365_processed,2,2813,0.27500244975090027
