iteration,specimen,k,n_touched,coverage_fraction
15,Solenopsis_invicta_CASENT0744384_processed,2,980,0.09580603986978531
15,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3681,0.3598592281341553
15,Acromyrmex_coronatus_CASENT0744365_processed,3,5369,0.5248802304267883
15,Solenopsis_invicta_CASENT0744384_processed,3,1315,0.1285560578107834
15,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4686,0.4581092894077301
15,Acromyrmex_coronatus_CASENT0744365_processed,5,6770,0.6618437767028809
15,Solenopsis_invicta_CASENT0744384_processed,5,1931,0.18877699971199036
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2995,0.29279500246047974
16,Acromyrmex_coronatus_CASENT0744365_processed,2,4363,0.4265323877334595
16,Solenopsis_invicta_CASENT0744384_processed,2,993,0.09707693755626678
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3706,0.3623032569885254
16,Acromyrmex_coronatus_CASENT0744365_processed,3,5316,0.5196988582611084
16,Solenopsis_invicta_CASENT0744384_processed,3,1328,0.12982696294784546
16,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4691,0.4585981070995331
16,Acromyrmex_coronatus_CASENT0744365_processed,5,6712,0.656173586845398
16,Solenopsis_invicta_CASENT0744384_processed,5,1938,0.1894613355398178
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3019,0.2951412498950958
17,Acromyrmex_coronatus_CASENT0744365_processed,2,4349,0.42516374588012695
17,Solenopsis_invicta_CASENT0744384_processed,2,995,0.09727245569229126
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3729,0.36455175280570984
17,Acromyrmex_coronatus_CASENT0744365_processed,3,5268,0.5150063633918762
17,Solenopsis_invicta_CASENT0744384_processed,3,1329,0.1299247145652771
17,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4719,0.4613354206085205
17,Acromyrmex_coronatus_CASENT0744365_processed,5,6653,0.6504057049751282
17,Solenopsis_invicta_CASENT0744384_processed,5,1941,0.18975462019443512
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3064,0.29954051971435547
18,Acromyrmex_coronatus_CASENT0744365_processed,2,4373,0.42751002311706543
18,Solenopsis_invicta_CASENT0744384_processed,2,1007,0.0984455943107605
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3775,0.3690487742424011
18,Acromyrmex_coronatus_CASENT0744365_processed,3,5278,0.5159839391708374
18,Solenopsis_invicta_CASENT0744384_processed,3,1350,0.13197770714759827
18,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4784,0.4676899015903473
18,Acromyrmex_coronatus_CASENT0744365_processed,5,6656,0.6506989598274231
18,Solenopsis_invicta_CASENT0744384_processed,5,1969,0.19249193370342255
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3120,0.3050151467323303
19,Acromyrmex_coronatus_CASENT0744365_processed,2,4345,0.424772709608078
19,Solenopsis_invicta_CASENT0744384_processed,2,1009,0.09864111989736557
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3809,0.37237265706062317
19,Acromyrmex_coronatus_CASENT0744365_processed,3,5259,0.5141264796257019
19,Solenopsis_invicta_CASENT0744384_processed,3,1350,0.13197770714759827
19,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4804,0.46964511275291443
19,Acromyrmex_coronatus_CASENT0744365_processed,5,6641,0.6492325663566589
19,Solenopsis_invicta_CASENT0744384_processed,5,1969,0.19249193370342255
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3098,0.3028644025325775
20,Acromyrmex_coronatus_CASENT0744365_processed,2,4319,0.42223089933395386
20,Solenopsis_invicta_CASENT0744384_processed,2,1016,0.09932544827461243
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3791,0.3706129491329193
20,Acromyrmex_coronatus_CASENT0744365_processed,3,5247,0.5129533410072327
20,Solenopsis_invicta_CASENT0744384_processed,3,1353,0.13227099180221558
20,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4788,0.46808093786239624
20,Acromyrmex_coronatus_CASENT0744365_processed,5,6635,0.6486459970474243
20,Solenopsis_invicta_CASENT0744384_processed,5,1971,0.19268745183944702
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3080,0.30110469460487366
21,Acromyrmex_coronatus_CASENT0744365_processed,2,4270,0.41744059324264526
21,Solenopsis_invicta_CASENT0744384_processed,2,1016,0.09932544827461243
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3777,0.3692443072795868
