label,source,genus,species,subfamily,ecology,asym_median,log_size,attach_b_a_1,seg_b_a_1,seg_b_a_2,seg_b_a_3,seg_b_a_4,head_wid,head_len,head_hei,mesosoma_wid,mesosoma_len,mesosoma_hei,gaster_wid,gaster_len,gaster_hei,attach_l_1_co,seg_l_1_co,seg_l_1_tr,seg_l_1_fe,attach_l_2_co,seg_l_2_co,seg_l_2_tr,seg_l_2_fe,attach_l_3_co,seg_l_3_co,seg_l_3_tr,seg_l_3_fe,attach_ma,attach_an_1,seg_an_1,seg_an_2,mandible_wid,mandible_len,mandible_hei,leaflen_ma,shapedev_gaster,shapedev_head,shapedev_mesosoma,shapedev_mandible
Gnamptogenys_horni_CASENT0744355_processed.obj,worker,gnamptogenys,gnamptogenys_horni,Ectatomminae,,0.05399,-1.17441,0.398381,0.050561,0.183958,0.292805,0.173094,0.394037,0.311358,0.352241,0.322818,0.474330,0.278055,0.433007,0.645252,0.512745,0.136437,0.166186,0.435469,0.385241,0.269889,0.170163,0.412608,0.535214,0.367630,0.183139,0.472655,0.496143,0.319079,0.345062,0.256746,0.606710,0.150529,0.262811,0.465649,0.478408,0.439238,0.200381,0.229789,0.344554
Gnamptogenys_sp._CASENT0744342_processed.obj,worker,gnamptogenys,,Ectatomminae,,0.03177,-0.98707,0.456938,0.124177,0.168259,0.379019,0.169334,0.447873,0.481088,0.356974,0.346562,0.459719,0.310525,0.654780,0.902951,0.423674,0.188617,0.208106,0.544299,0.528711,0.348070,0.238441,0.722722,0.605640,0.458472,0.213462,0.556373,0.640955,0.364151,0.424895,0.403396,0.639237,0.233316,0.105913,0.566637,0.569240,0.456164,0.145992,0.279216,0.429657
Goniomma_hispanicum_CASENT0745171_processed.obj,worker,goniomma,goniomma_hispanicum,,,0.05998,-1.25093,0.402650,0.131291,0.196513,0.307031,0.289906,0.284233,0.303632,0.219337,0.186280,0.376691,0.212571,0.375959,0.758353,0.321583,0.124898,0.196441,0.561478,0.405736,0.286473,0.149716,0.539447,0.461963,0.367970,0.077821,0.363258,0.274815,0.302833,0.287743,0.285940,0.472428,0.230332,0.159606,0.439510,0.434612,0.126161,0.155923,0.155789,0.427815
Goniomma_hispanicum_CASENT0745172_processed.obj,worker,goniomma,goniomma_hispanicum,,,0.03505,-1.18412,0.443325,0.141900,0.207303,0.380842,0.290858,0.310923,0.341264,0.247477,0.216222,0.395568,0.205231,0.431642,0.726191,0.368046,0.167943,0.160645,0.497978,0.432489,0.305541,0.142208,0.495076,0.569852,0.412449,0.159490,0.389721,0.202426,0.314269,0.344698,0.303712,0.488363,0.193004,0.184963,0.447451,0.449496,0.164309,0.137197,0.132021,0.340025
Goniomma_hispanicum_CASENT0745173_processed.obj,worker,goniomma,goniomma_hispanicum,,,0.03002,-1.26760,0.417535,0.125296,0.159208,0.307705,0.287521,0.270859,0.281579,0.205968,0.179541,0.375858,0.215098,0.377019,0.700774,0.319958,0.119373,0.189087,0.462520,0.337879,0.287786,0.146531,0.520591,0.404047,0.365020,0.166288,0.476447,0.460141,0.303410,0.238041,0.237331,0.440651,0.234212,0.145576,0.355244,0.354315,0.093597,0.132110,0.160497,0.472880
Hagensia_havilandi_marleyi_CASENT0744949_processed.obj,worker,hagensia,hagensia_havilandi,,,0.05833,-1.11503,0.427607,0.096171,0.186801,0.523439,0.259679,0.293332,0.359404,0.278713,0.277125,0.426064,0.291327,0.503902,0.877003,0.480918,0.147768,0.229619,0.493642,0.461145,0.323569,0.120368,0.578777,0.451311,0.410952,0.191355,0.634173,0.407678,0.330520,0.288456,0.218362,0.453927,0.224579,0.168586,0.516801,0.517808,0.303902,0.183885,0.222619,0.347468
Hagensia_havilandi_marleyi_CASENT0744950_processed.obj,worker,hagensia,hagensia_havilandi,,,0.04752,-1.27026,0.464038,0.104712,0.140557,0.221307,0.368428,0.321413,0.223365,0.143159,0.275255,0.422364,0.302567,0.291910,0.905362,0.167720,0.142800,0.178129,0.469833,0.356208,0.375694,0.116481,0.495745,0.472478,0.373740,0.056739,0.460957,0.623387,0.235975,0.236387,0.446754,0.636488,0.187507,0.161086,0.391454,0.393531,0.421460,0.244013,0.232853,0.327972
Harpegnathos_venator_CASENT0877552_processed.obj,worker,harpegnathos,harpegnathos_venator,Ponerinae,,0.06036,-1.29005,0.463748,0.139226,0.258448,0.308310,0.298440,0.360559,0.423286,0.286893,0.268167,0.468375,0.276589,0.288611,0.592318,0.506123,0.110706,0.054784,0.401961,0.276643,0.381317,0.109123,0.338949,0.421795,0.449453,0.154745,0.392324,0.441697,0.387643,0.401481,0.187132,0.400832,0.101356,0.113313,0.259800,0.262558,0.390637,0.148462,0.209486,0.394434
Harpegnathos_venator_CASENT0877553_processed.obj,worker,harpegnathos,harpegnathos_venator,Ponerinae,,0.13023,-1.27870,0.255194,0.085560,0.176233,0.289083,0.343927,0.300383,0.651499,0.373342,0.182127,0.354199,0.190781,0.318560,0.724491,0.320481,0.049144,0.107177,0.641104,0.589129,0.248730,0.227330,0.644946,0.290263,0.305363,0.120598,0.388914,0.227530,0.447364,0.488015,0.348547,0.466207,0.070928,0.250882,0.342606,0.348097,0.207870,0.398539,0.170576,0.431785
Heteroponera_dolo_CASENT0744318_processed.obj,worker,heteroponera,heteroponera_dolo,,,0.02871,-1.24103,0.560550,0.067976,0.257077,0.185359,0.224917,0.407633,0.445897,0.282721,0.242980,0.470166,0.232516,0.346475,0.763807,0.438083,0.233532,0.271711,0.332302,0.340867,0.357326,0.221405,0.497215,0.443261,0.473479,0.148351,0.472488,0.489302,0.363638,0.373779,0.437826,0.235700,0.064695,0.103131,0.196265,0.195815,0.306856,0.101698,0.198356,0.346420
