name,radial_med,radial_p90,yaw_deg,in_bench50,keep_top50,keep_top25
Liometopum_microcephalum_CASENT0878045_processed.obj,0.1839224345907593,0.3475275536416705,1.2739938303102585,False,True,True
Cephalotes_minutus_CASENT0709253_processed.obj,0.1839363758326037,0.2822901715378988,0.7341809738094968,True,True,True
Tetraponera_merita_CASENT0840853-D4_processed.obj,0.1841514653182144,0.3469711987765853,0.4922097824679527,False,True,True
Pheidole_capellinii_CASENT0877637_processed.obj,0.1842580099237407,0.3757470706887361,5.375406496185438,False,True,True
Bothriomyrmex_meridionalis_CASENT0745154_processed.obj,0.1843123568870528,0.3332299558096307,1.2676814738621462,False,True,True
Aenictus_ceylonicus_CASENT0878083_processed.obj,0.184473123962033,0.5175437881339907,2.956744657334048,False,True,True
Ponera_kohmoku_OKENT0105440_processed.obj,0.1846896836727732,0.3604354675333716,0.355985957457084,True,True,True
Pheidole_aurivillii_CASENT0744851_processed.obj,0.1850509511703084,0.4232345857429315,1.1401168494338187,False,True,True
Pheidole_pieli_OKENT0105141_processed.obj,0.1851292795726462,0.5043698682992558,1.354898539553989,False,True,True
Dolichoderus_quadripunctatus_CASENT0878128_processed.obj,0.1855056860814709,0.3181833125970896,3.357571027145908,False,True,True
Dorylus_fulvus_CASENT0745671_processed.obj,0.1856911345796837,0.3394608390795155,1.0546058179869138,False,True,True
Lepisiota_nigra_CASENT0878133_processed.obj,0.1857218906459407,0.401435890769942,7.022556779099246,False,True,True
Cephalotes_pusillus_CASENT0744051_processed.obj,0.1859450120051616,0.2955719578858904,0.8722360787771157,False,True,True
Axinidris_acholli_CASENT0745567_processed.obj,0.1865327379678529,0.3527938581515391,0.1933192102762659,False,True,True
Tapinoma_simrothi_CASENT0745226_processed.obj,0.1865619369371196,0.400215786854165,0.8163327710270517,False,True,True
Formica_japonica_OKENT0105382_processed.obj,0.1865686478056374,0.3868984093248586,0.7280667331023971,False,True,True
Pheidole_obscurithorax_CASENT0744317_processed.obj,0.1877030509478046,0.5212456123852989,2.133875829480722,False,True,True
Syllophopsis_sechellensis_OKENT0105212_processed.obj,0.1880071982953153,0.3058658841760893,7.782065094032953,True,True,True
Pseudoneoponera_rufipes_CASENT0877628_processed.obj,0.1881255171291804,0.2985281927981835,0.4522124820807565,False,True,True
Dolichoderus_quadripunctatus_CASENT0878131_processed.obj,0.1881835749044585,0.2695272198665185,0.2602771172676381,False,True,True
Ooceraea_biroi_CASENT0741391_processed.obj,0.1889513893334367,0.3728971526465986,3.915931028658261,False,True,True
Stigmatomma_silvestrii_OKENT0105191_processed.obj,0.188979354416263,0.3737710747705725,1.0111379101737743,False,True,True
Temnothorax_indra_OKENT0105228_processed.obj,0.1890916150198617,0.3843763436943311,0.5213030596711454,False,True,True
Anochetus_risii_CASENT0877608_processed.obj,0.1891042089849165,0.3645348016400287,0.8957336786651088,True,True,True
Tetramorium_sericeiventre_CASENT0744911_processed.obj,0.1897328594438517,0.4617606904768943,13.792677975598805,False,True,True
Protalaridris_armata_CASENT0745595_processed.obj,0.1899865519908703,0.321333695767548,1.0160659032713997,False,True,True
Pheidole_nodus_OKENT0105130_processed.obj,0.1908577432473745,0.5522823885974505,6.6154177332689885,False,True,True
Anochetus_sp._CASENT0744922_processed.obj,0.1917050317045587,0.430982007290877,4.706472781909209,False,True,True
Tetramorium_aculeatum_CASENT0744907_processed.obj,0.1918798513069997,0.3475872980899841,78.44555052803989,False,True,True
Strumigenys_auctidens_CASENT0878106_processed.obj,0.1919216010247021,0.3372677524546786,1.40652281531302,False,True,True
Microdaceton_exornatum_CASENT0744836_processed.obj,0.1921101806397316,0.3438640400474757,0.2133790346856316,False,True,True
Formica_fusca_CASENT0877632_processed.obj,0.1922142468549216,0.3691035930599688,0.8289216862527202,False,True,True
