name,radial_med,radial_p90,yaw_deg,in_bench50
Pheidole_nodus_OKENT0105130_processed.obj,0.1908577432473745,0.5522823885974505,6.6154177332689885,False
Anochetus_sp._CASENT0744922_processed.obj,0.19170503170455874,0.430982007290877,4.706472781909209,False
Tetramorium_aculeatum_CASENT0744907_processed.obj,0.1918798513069997,0.3475872980899841,78.44555052803989,False
Strumigenys_auctidens_CASENT0878106_processed.obj,0.19192160102470218,0.33726775245467866,1.40652281531302,False
Microdaceton_exornatum_CASENT0744836_processed.obj,0.1921101806397316,0.3438640400474757,0.21337903468563166,False
Formica_fusca_CASENT0877632_processed.obj,0.19221424685492164,0.36910359305996887,0.8289216862527202,False
Neivamyrmex_aff.pacificus_CASENT0744549_processed.obj,0.19244145964966924,0.4031642365860748,2.3186743127689273,False
Myrmica_kotokui_OKENT0105275_processed.obj,0.19246928337324504,0.32664363876089325,0.9148914917232103,False
Strumigenys_kumadori_OKENT0105283_processed.obj,0.19288165757033537,0.36173369157388,2.377449086446817,False
Nomamyrmex_esenbeckii_CASENT0744589_processed.obj,0.1930480021532412,0.336833255548761,89.07163748997283,False
Fulakora_armigera_CASENT0744229_processed.obj,0.19322492167349747,0.3290922983642639,3.4288612083302406,False
Strumigenys_zeteki_CASENT0744209_processed.obj,0.19372701245859802,0.3008667567279113,0.9748248519169975,False
Cryptopone_sauteri_OKENT0105281_processed.obj,0.19376638627073842,0.34682179783478245,0.04226162519713641,False
Goniomma_hispanicum_CASENT0745173_processed.obj,0.19397882000898295,0.4495213648679416,4.400135389181381,False
Aphaenogaster_subterranea_CASENT0745050_processed.obj,0.1940719667271829,0.4135575664468695,7.371331174764599,False
Tapinoma_nigerrimum_CASENT0745201_processed.obj,0.19456307529828235,0.37291594322130817,0.4515826914407411,False
Dorylus_nigricans_molestus_CASENT0744684_processed.obj,0.19498709590384333,0.36092560033497506,1.3936395418228331,False
Strongylognathus_testaceus_CASENT0745198_processed.obj,0.19521914644065633,0.33331660847622685,3.3692352620043393,False
Pheidole_parva_OKENT0105133_processed.obj,0.19526850889154448,0.31292629544172906,1.0886668082727917,False
Crematogaster_sp._CASENT0877556_processed.obj,0.1953893028557489,0.36515766464813815,1.2282364591481825,False
Euponera_brunoi_CASENT0744938_processed.obj,0.19545489846863057,0.374818530847545,0.7066587724815617,False
Dorylus_sp._CASENT0744699_processed.obj,0.1955021641440336,0.3670701420270707,0.22845472658912983,False
Aenictus_afrc-gh01_CASENT0744679_processed.obj,0.19563556683851485,0.42408927827249077,2.832784280195682,False
