arm,metric,control,arm_val,rel,wins,n,p
A1_offset,deform_mag_p95,0.11934373617172238,0.01690990094095464,-85.83092713179225,50,50,1.7763568394002505e-15
A1_offset,midline_dev_mean,0.0369353748299181,0.03164314547553653,-14.328348848788492,40,50,2.3861331676755526e-05
A1_offset,part_leg_distal_dist_mean,0.009220938170328688,0.04342505342327053,370.93964429015585,0,50,1.7763568394002505e-15
A2_restedge,chamfer_l2,0.0024823476630262483,0.004489109499845606,80.8412885068841,1,50,9.059419880941277e-14
A2_restedge,fscore@0.01,0.2726381371170282,0.20537832155823707,-24.669995280107713,4,50,4.461782054931973e-10
A2_restedge,fscore@0.02,0.5616250535845757,0.43780663698911665,-22.046455336165423,2,50,2.2666313270747196e-12
A2_restedge,hausdorff_95,0.07721978776156899,0.11106104515492912,43.82459259977936,1,50,9.059419880941277e-14
A2_restedge,normal_consistency,0.6894034993648529,0.7062992489337921,2.4507780399259333,32,50,0.06490864707227217
A2_restedge,edge_logratio_absmean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A2_restedge,tri_quality_mean,0.7295354247093201,0.7946595072746276,8.926788248996498,49,50,9.059419880941277e-14
A2_restedge,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A2_restedge,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A2_restedge,midline_dev_mean,0.031235918123274996,0.0315257044602185,0.9277343338862629,31,50,0.11892045255943628
A2_restedge,part_leg_distal_dist_mean,0.04610030675306911,0.02998541921377178,-34.95613950090457,40,50,2.3861331676755526e-05
A2_restedge,chamfer_l2,0.00040320283180330394,0.0013730923499678683,240.54630554585154,3,50,3.708322537931963e-11
A2_restedge,fscore@0.01,0.6615910685062408,0.39225874170660974,-40.70978881370485,0,50,1.7763568394002505e-15
A2_restedge,fscore@0.02,0.9228403961658478,0.7092946994304657,-23.140046493670546,0,50,1.7763568394002505e-15
A2_restedge,hausdorff_95,0.03177629409357901,0.0599262278154492,88.58784362356633,3,50,3.708322537931963e-11
A2_restedge,normal_consistency,0.7847785115242004,0.7946612989902496,1.2593091325655967,32,50,0.06490864707227217
A2_restedge,edge_logratio_absmean,0.585228705406189,0.18095312789082527,-69.07992956942839,50,50,1.7763568394002505e-15
A2_restedge,tri_quality_mean,0.6461913955211639,0.8017711472511292,24.076419588386337,50,50,1.7763568394002505e-15
A2_restedge,deform_mag_mean,0.05210933651775118,0.06425501815974709,23.308071937598683,4,50,4.461782054931973e-10
A2_restedge,deform_mag_p95,0.11934373617172238,0.13843028113245961,15.99291724294092,8,50,1.163555804595262e-06
A2_restedge,midline_dev_mean,0.0369353748299181,0.035105641018599226,-4.9538790920492515,34,50,0.015346677832630107
A2_restedge,part_leg_distal_dist_mean,0.009220938170328688,0.019072040468454312,106.83405652535822,1,50,9.059419880941277e-14
A3_priors,chamfer_l2,0.0024823476630262483,0.0028650694177485463,15.417733795657849,7,50,2.098677427397888e-07
A3_priors,fscore@0.01,0.2726381371170282,0.24754830606281758,-9.2026124149128,9,50,5.614100093254137e-06
A3_priors,fscore@0.02,0.5616250535845757,0.5202656587958336,-7.3642360725704465,5,50,4.209852022540872e-09
A3_priors,hausdorff_95,0.07721978776156899,0.08333000198006627,7.912757073723924,13,50,0.000936222910851825
A3_priors,normal_consistency,0.6894034993648529,0.681491584777832,-1.1476464210435053,19,50,0.11892045255943628
A3_priors,edge_logratio_absmean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A3_priors,tri_quality_mean,0.7295354247093201,0.7343132174015046,0.6549089366128614,29,50,0.3222363203575469
A3_priors,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A3_priors,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A3_priors,midline_dev_mean,0.031235918123274996,0.03440451875329013,10.144093147537907,22,50,0.47988766169832786
A3_priors,part_leg_distal_dist_mean,0.04610030675306911,0.0367796142213046,-20.218287443264796,41,50,5.614100093254137e-06
A3_priors,chamfer_l2,0.00040320283180330394,0.00038398107019015635,-4.767268493504017,27,50,0.6718110337653656
A3_priors,fscore@0.01,0.6615910685062408,0.6624291461706161,0.12667608501218713,28,50,0.47988766169832786
A3_priors,fscore@0.02,0.9228403961658478,0.9239814043045044,0.1236408964535936,29,50,0.3222363203575469
A3_priors,hausdorff_95,0.03177629409357901,0.030089434981346096,-5.308545758080357,29,50,0.3222363203575469
A3_priors,normal_consistency,0.7847785115242004,0.7898103451728821,0.6411788262273374,30,50,0.20263875106454066
