name,n_verts,n_faces,n_components,frac_area_offmain,frac_boundary_edges,frac_nonmanifold_edges,frac_degenerate_tri,frac_dup_verts,yaw_deg,pitch_deg,pca_ev1,pca_ev2,pca_ev3,elongation,flatness,area_norm,area_over_vol23,limb_area_frac,radial_p95_over_med,speckle_frac,clump_frac,spacing_cv
ancyridris.obj,14478,32767,3321,0.8873814416988461,0.04606275649794802,0.12181515047879617,0.0,0.0,0.7616308411506167,1.3006383343688388,0.6660493645760507,0.26957666028933586,0.06437397513461336,2.4707234070678887,4.187665275068382,2.2589642169834763,,0.2606,3.680268459583331,0.0,0.0,0.21395741599603743
ankylomyrma.obj,34563,74262,4066,0.7833410559474134,0.026042724469636822,0.06931186647218478,0.0,0.0,0.6579173008067776,2.0483591489539643,0.7106708148814163,0.2246373030696024,0.06469188204898145,3.1636366942191234,3.4724187325315143,3.0977636697292867,,0.16565,2.7822414234058024,0.0003,0.0,0.20440732606998255
apomyrma.obj,35867,77201,4379,0.8259486709281771,0.028411815904932768,0.07206423077606267,0.0,0.0,0.14679010863959208,0.5642733214219554,0.8817612540695298,0.0955051415039573,0.022733604426512906,9.232605074282766,4.201055834004708,2.0879022035207697,,0.117,2.638366860509288,0.0,0.0,0.20514668971695335
atta-vollenweideri.obj,18253,40915,3541,0.8111458724676863,0.03985155678123351,0.1043528590640587,0.0,0.0,0.5160379556119742,5.128892237365173,0.701189012588536,0.23903375933113793,0.05977722808032598,2.933430886710717,3.9987427822838324,1.5954266664862344,,0.23435,3.2736271386217948,0.0,0.0,0.21718441623121928
basiceros.obj,23473,50797,5471,0.827284001215665,0.06666666666666667,0.10699001426533523,0.0,0.0,0.4211718656481421,2.2995917791312483,0.7065633852389124,0.2545216174140796,0.038914997347007936,2.7760446928537665,6.540450591438856,3.6598927045124037,,0.2038,3.397718382968948,0.0,0.0,0.21360086488591123
brachyponera-chinensis.obj,25392,57239,5951,0.8283323801421552,0.04234264062097635,0.11142993782879006,0.0,0.0,0.009215375195440212,3.927144612756421,0.7683383537687184,0.1971239217883007,0.034537724442980866,3.8977428350571666,5.707495932852704,2.827340442935401,,0.23395,3.4860472495130095,0.0,0.0,0.2179527975942992
cataulacus.obj,36326,77993,4036,0.8322915123094758,0.02435639563991533,0.0654539705404432,0.0,0.0,0.8985804504786327,3.110830274590132,0.7353915581682767,0.20588175409545129,0.05872668773627203,3.571912243507179,3.5057613843303854,3.785090280410281,,0.1655,2.779345730689662,0.0,0.0,0.20676356010917538
cephalotes-varians.obj,26960,58692,3769,0.7691616918146625,0.02507700627806908,0.07440805097698042,0.0,0.0,0.5312146844742422,1.8814390119389643,0.7273555667234552,0.2370051453219824,0.035639287954562324,3.0689442026050076,6.650108880518261,4.458441717874578,,0.1658,3.0296651544412936,0.0,0.0,0.20927500549058872
cephalotes.obj,38537,81742,2545,0.7950097854545832,0.011493965251190685,0.04206390911593224,0.0,0.0,0.5276324018623592,1.6797645925483893,0.7248284249692108,0.23110963182225602,0.044061943208533016,3.1362969135214094,5.245107568871348,4.763423537663105,,0.1277,2.5913109987269545,0.0,0.0,0.21101326330648779
colobopsis-conica.obj,18565,40181,2709,0.7773892366546341,0.033018221674201945,0.08078161391971503,0.0,0.0,0.2363372108102964,1.6015877836851564,0.7144540793706535,0.23713322960645963,0.04841269102288677,3.0128804830784097,4.898162539536513,2.2308838219736655,,0.17865,3.010878262720906,5e-05,0.0,0.20539443576467525
