arm                      when   metric                       wins/n         p  P(verdict flips)  P(sig flips dir)
M8b_robust_only          final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
M8b_robust_only          final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
M8b_robust_only          final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
M8b_robust_only          final  midline_dev_mean             46/50   4.46e-10   0.000 (determ.)                 -
M9a_field                pose   chamfer_l2                    0/50   1.78e-15             0.000             0.000
M9a_field                pose   fscore@0.01                   1/50   9.06e-14             0.000             0.000
M9a_field                pose   fscore@0.02                   1/50   9.06e-14             0.000             0.000
M9a_field                pose   hausdorff_95                  0/50   1.78e-15             0.000             0.000
M9a_field                pose   normal_consistency           13/50   9.36e-04             0.000             0.000
M9a_field                pose   part_leg_distal_dist_mean    15/50   6.60e-03             0.000             0.000
M9a_field                pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
M9a_field                pose   tri_quality_mean             49/50   9.06e-14   0.000 (determ.)                 -
M9a_field                pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
M9a_field                pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
M9a_field                pose   midline_dev_mean             40/50   2.39e-05   0.000 (determ.)                 -
M9a_field                final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
M9a_field                final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
M9a_field                final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
M9a_field                final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
M9a_field                final  normal_consistency            2/50   2.27e-12             0.000             0.000
M9a_field                final  part_leg_distal_dist_mean     0/50   1.78e-15             0.000             0.000
M9a_field                final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
M9a_field                final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
M9a_field                final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
M9a_field                final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
M9a_field                final  midline_dev_mean             45/50   4.21e-09   0.000 (determ.)                 -
M9c_anchorinit           pose   chamfer_l2                    0/50   1.78e-15             0.000             0.000
M9c_anchorinit           pose   fscore@0.01                   1/50   9.06e-14             0.000             0.000
M9c_anchorinit           pose   fscore@0.02                   0/50   1.78e-15             0.000             0.000
M9c_anchorinit           pose   hausdorff_95                  0/50   1.78e-15             0.000             0.000
M9c_anchorinit           pose   normal_consistency           24/50   8.88e-01             0.000             0.000
M9c_anchorinit           pose   part_leg_distal_dist_mean     7/50   2.10e-07             0.000             0.000
M9c_anchorinit           pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           pose   tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           pose   midline_dev_mean             35/50   6.60e-03   0.000 (determ.)                 -
M9c_anchorinit           final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
M9c_anchorinit           final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
M9c_anchorinit           final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
M9c_anchorinit           final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
M9c_anchorinit           final  normal_consistency            2/50   2.27e-12             0.000             0.000
M9c_anchorinit           final  part_leg_distal_dist_mean     1/50   9.06e-14             0.000             0.000
M9c_anchorinit           final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
M9c_anchorinit           final  midline_dev_mean             47/50   3.71e-11   0.000 (determ.)                 -
baseline                 pose   chamfer_l2                    8/50   1.16e-06             0.000             0.000
baseline                 pose   fscore@0.01                   8/50   1.16e-06             0.000             0.000
baseline                 pose   fscore@0.02                  10/50   2.39e-05             0.000             0.000
baseline                 pose   hausdorff_95                 12/50   3.06e-04             0.000             0.000
baseline                 pose   normal_consistency           12/50   3.06e-04             0.000             0.000
baseline                 pose   part_leg_distal_dist_mean    50/50   1.78e-15             0.000             0.000
baseline                 pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
baseline                 pose   tri_quality_mean             27/50   6.72e-01   0.000 (determ.)                 -
baseline                 pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
baseline                 pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
baseline                 pose   midline_dev_mean             30/50   2.03e-01   0.000 (determ.)                 -
baseline                 final  chamfer_l2                    4/50   4.46e-10             0.000             0.000
baseline                 final  fscore@0.01                   6/50   3.24e-08             0.000             0.000
baseline                 final  fscore@0.02                   6/50   3.24e-08             0.000             0.000
baseline                 final  hausdorff_95                  3/50   3.71e-11             0.000             0.000
baseline                 final  normal_consistency           10/50   2.39e-05             0.000             0.000
baseline                 final  part_leg_distal_dist_mean    43/50   2.10e-07             0.000             0.000
baseline                 final  edge_logratio_absmean        40/50   2.39e-05   0.000 (determ.)                 -
baseline                 final  tri_quality_mean             49/50   9.06e-14   0.000 (determ.)                 -
baseline                 final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
baseline                 final  deform_mag_p95               48/50   2.27e-12   0.000 (determ.)                 -
baseline                 final  midline_dev_mean             31/50   1.19e-01   0.000 (determ.)                 -

726 arm x stage x metric verdicts examined
sampled metrics: 396   mean P(flip) = 0.0306   max P(flip) = 0.880
worst 12:
   A4_nofreeze              final  fscore@0.02                P(flip)=0.880  P(sig wrong dir)=0.0000
   A4_nofreeze_s1           final  fscore@0.02                P(flip)=0.812  P(sig wrong dir)=0.0000
   B1_best_off0p2           final  fscore@0.02                P(flip)=0.716  P(sig wrong dir)=0.0000
   A4_nofreeze_s2           final  fscore@0.02                P(flip)=0.679  P(sig wrong dir)=0.0000
   M8_handoff               final  fscore@0.02                P(flip)=0.677  P(sig wrong dir)=0.0000
   A4_nofreeze_s2           pose   fscore@0.01                P(flip)=0.654  P(sig wrong dir)=0.0000
   A2_restedge              pose   normal_consistency         P(flip)=0.637  P(sig wrong dir)=0.0000
   A4_nofreeze              final  fscore@0.01                P(flip)=0.601  P(sig wrong dir)=0.0000
   M7_handoff_midline       final  chamfer_l2                 P(flip)=0.598  P(sig wrong dir)=0.0000
   M7_handoff_midline       final  fscore@0.01                P(flip)=0.568  P(sig wrong dir)=0.0000
   A4_nofreeze_s1           final  fscore@0.01                P(flip)=0.561  P(sig wrong dir)=0.0000
   A4_nofreeze              final  chamfer_l2                 P(flip)=0.524  P(sig wrong dir)=0.5040
