arm                      when   metric                       wins/n         p  P(verdict flips)  P(sig flips dir)
B1_best_off0p2           pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           pose   tri_quality_mean             30/50   2.03e-01   0.000 (determ.)                 -
B1_best_off0p2           pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           pose   midline_dev_mean             19/50   1.19e-01   0.000 (determ.)                 -
B1_best_off0p2           final  chamfer_l2                   23/50   6.72e-01             0.000             0.000
B1_best_off0p2           final  fscore@0.01                   7/50   2.10e-07             0.000             0.000
B1_best_off0p2           final  fscore@0.02                  17/50   3.28e-02             0.716             0.000
B1_best_off0p2           final  hausdorff_95                 24/50   8.88e-01             0.000             0.000
B1_best_off0p2           final  normal_consistency           28/50   4.80e-01             0.000             0.000
B1_best_off0p2           final  part_leg_distal_dist_mean    14/50   2.60e-03             0.001             0.000
B1_best_off0p2           final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           final  tri_quality_mean             47/50   3.71e-11   0.000 (determ.)                 -
B1_best_off0p2           final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off0p2           final  midline_dev_mean             30/50   2.03e-01   0.000 (determ.)                 -
B1_best_off1p0           pose   chamfer_l2                    6/50   3.24e-08             0.000             0.000
B1_best_off1p0           pose   fscore@0.01                  11/50   9.02e-05             0.000             0.000
B1_best_off1p0           pose   fscore@0.02                   6/50   3.24e-08             0.000             0.000
B1_best_off1p0           pose   hausdorff_95                 11/50   9.02e-05             0.000             0.000
B1_best_off1p0           pose   normal_consistency           21/50   3.22e-01             0.000             0.000
B1_best_off1p0           pose   part_leg_distal_dist_mean    39/50   9.02e-05             0.000             0.000
B1_best_off1p0           pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           pose   tri_quality_mean             29/50   3.22e-01   0.000 (determ.)                 -
B1_best_off1p0           pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           pose   midline_dev_mean             21/50   3.22e-01   0.000 (determ.)                 -
B1_best_off1p0           final  chamfer_l2                    9/50   5.61e-06             0.000             0.000
B1_best_off1p0           final  fscore@0.01                   2/50   2.27e-12             0.000             0.000
B1_best_off1p0           final  fscore@0.02                   4/50   4.46e-10             0.000             0.000
B1_best_off1p0           final  hausdorff_95                 12/50   3.06e-04             0.000             0.000
B1_best_off1p0           final  normal_consistency           13/50   9.36e-04             0.001             0.000
B1_best_off1p0           final  part_leg_distal_dist_mean     8/50   1.16e-06             0.000             0.000
B1_best_off1p0           final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           final  tri_quality_mean             48/50   2.27e-12   0.000 (determ.)                 -
B1_best_off1p0           final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
B1_best_off1p0           final  midline_dev_mean             26/50   8.88e-01   0.000 (determ.)                 -
C0_control_s1            pose   chamfer_l2                   29/50   3.22e-01             0.009             0.000
C0_control_s1            pose   fscore@0.01                  28/50   4.80e-01             0.013             0.000
C0_control_s1            pose   fscore@0.02                  31/50   1.19e-01             0.069             0.000
C0_control_s1            pose   hausdorff_95                 31/50   1.19e-01             0.004             0.000
C0_control_s1            pose   normal_consistency           27/50   6.72e-01             0.000             0.000
C0_control_s1            pose   part_leg_distal_dist_mean    23/50   6.72e-01             0.000             0.000
C0_control_s1            pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s1            pose   tri_quality_mean             26/50   8.88e-01   0.000 (determ.)                 -
C0_control_s1            pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s1            pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s1            pose   midline_dev_mean             25/50   1.00e+00   0.000 (determ.)                 -
C0_control_s1            final  chamfer_l2                   25/50   1.00e+00             0.000             0.000
C0_control_s1            final  fscore@0.01                  28/50   4.80e-01             0.005             0.004
C0_control_s1            final  fscore@0.02                  26/50   8.88e-01             0.016             0.003
C0_control_s1            final  hausdorff_95                 24/50   8.88e-01             0.000             0.000
C0_control_s1            final  normal_consistency           28/50   4.80e-01             0.001             0.000
C0_control_s1            final  part_leg_distal_dist_mean    26/50   8.88e-01             0.000             0.000
C0_control_s1            final  edge_logratio_absmean        26/50   8.88e-01   0.000 (determ.)                 -
C0_control_s1            final  tri_quality_mean             30/50   2.03e-01   0.000 (determ.)                 -
C0_control_s1            final  deform_mag_mean              24/50   8.88e-01   0.000 (determ.)                 -
C0_control_s1            final  deform_mag_p95               22/50   4.80e-01   0.000 (determ.)                 -
C0_control_s1            final  midline_dev_mean             21/50   3.22e-01   0.000 (determ.)                 -
C0_control_s2            pose   chamfer_l2                   23/50   6.72e-01             0.000             0.000
C0_control_s2            pose   fscore@0.01                  27/50   6.72e-01             0.000             0.000
C0_control_s2            pose   fscore@0.02                  26/50   8.88e-01             0.031             0.000
C0_control_s2            pose   hausdorff_95                 22/50   4.80e-01             0.000             0.000
C0_control_s2            pose   normal_consistency           26/50   8.88e-01             0.000             0.000
C0_control_s2            pose   part_leg_distal_dist_mean    29/50   3.22e-01             0.000             0.000
C0_control_s2            pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s2            pose   tri_quality_mean             25/50   1.00e+00   0.000 (determ.)                 -
C0_control_s2            pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s2            pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
C0_control_s2            pose   midline_dev_mean             28/50   4.80e-01   0.000 (determ.)                 -
C0_control_s2            final  chamfer_l2                   29/50   3.22e-01             0.000             0.000
C0_control_s2            final  fscore@0.01                  26/50   8.88e-01             0.011             0.001
C0_control_s2            final  fscore@0.02                  27/50   6.72e-01             0.017             0.001
C0_control_s2            final  hausdorff_95                 26/50   8.88e-01             0.000             0.000
C0_control_s2            final  normal_consistency           23/50   6.72e-01             0.000             0.000
C0_control_s2            final  part_leg_distal_dist_mean    25/50   1.00e+00             0.000             0.000
C0_control_s2            final  edge_logratio_absmean        22/50   4.80e-01   0.000 (determ.)                 -
C0_control_s2            final  tri_quality_mean             31/50   1.19e-01   0.000 (determ.)                 -
C0_control_s2            final  deform_mag_mean              24/50   8.88e-01   0.000 (determ.)                 -
C0_control_s2            final  deform_mag_p95               23/50   6.72e-01   0.000 (determ.)                 -
