name,contact_frac,contact_pairs_per_pt,hull_fill,area_over_hullarea,radial_med,radial_p95_over_med,limb_area_frac,extent_along_axis
diacamma-indicum.obj,0.3061,0.4826,,0.29914337133416313,0.12876279889352488,3.827745896098929,0.2894,1.8544375517398297
dolichoderus-attelaboides.obj,0.24395,0.3778,,0.2717877126246505,0.12893867450460392,3.9246258119845305,0.2922,1.9291911623380669
dolichoderus-sibiricus.obj,0.2002,0.26785,,0.35566401270606135,0.1491882180936682,3.7857439667950024,0.25185,1.8765514058262234
dolichoderus.obj,0.17015,0.229,,0.3873485883686317,0.1687513358400469,3.4222057101921624,0.2089,1.907639149103727
dorylus-helvolus.obj,0.1874,0.2918,,0.47459227761085254,0.14056627488368556,3.389437296054188,0.21665,1.9405286643213429
dorylus-nigricans.obj,0.3353,0.58125,,0.31803763898885684,0.12983783732849571,3.235602598050312,0.1981,1.655529033085211
ectatomma-tuberculatum (1).obj,0.30845,0.5016,,0.2810554318200593,0.14948018999399587,3.512022002975484,0.27105,1.9095742169807592
ectatomma-tuberculatum.obj,0.30685,0.49315,,0.2810554318200593,0.1515299554598363,3.529845681646764,0.26575,1.8966542728845968
ection-burchellii.obj,0.25105,0.35625,,0.30505289724896123,0.1533496253801797,3.150417753700941,0.22545,1.9371671893524143
formica-japonica.obj,0.255,0.3313,,0.32560520317139685,0.14251035860776629,3.6836278364942387,0.2506,1.9938858013564595
fulakora.obj,0.18505,0.26125,,0.5049349758430172,0.13554235666020054,2.9650635563978978,0.1914,1.9702893627793485
gerontoformica.obj,0.25715,0.4094,,0.3147202069686728,0.11614338683697992,4.108317548215453,0.20575,1.8286236475131958
harpegnathos.obj,0.2433,0.3438,,0.36062273101811165,0.1426734169310016,3.416623221978737,0.28955,1.8206265949933322
iroponera.obj,0.1793,0.28535,,0.48331616694750323,0.1510621764446891,2.8954727098965507,0.17365,1.9195725044685723
labidus-coecus.obj,0.23975,0.39275,,0.3658706835000421,0.12550503544517744,3.3889592853766373,0.21385,1.8139029189709932
leptogenys-wheeleri.obj,0.20205,0.27935,,0.36272029671962797,0.13444717703972578,3.975242433784536,0.27625,1.998789877188151
manica-andrannae.obj,0.1922,0.2552,,0.4217290182368722,0.1584462156215138,3.4467785280874566,0.2334,1.9858853319854444
martialis-heureka.obj,0.19125,0.2777,,0.36626884486695277,0.1348031856418893,3.0447722402997983,0.18425,1.9452904087206764
meranoplus.obj,0.166,0.1869,,0.4818394989594711,0.20476442135560663,2.945339257271655,0.17865,1.9344059720223126
messor-barbarus.obj,0.2005,0.30245,,0.3544404008571597,0.15951111387100264,3.704332750593295,0.2732,1.7175646073406226
nomamyrmex.obj,0.2185,0.32505,,0.4157616697142859,0.14863786387382044,3.4526850412835,0.2324,1.9108645315743502
notoncus.obj,0.15565,0.18945,,0.495218938922192,0.1746265007110949,2.8770272824880614,0.2175,2.0030508906534292
odontomachus.obj,0.27295,0.4065,,0.21415060720317447,0.12262378571501678,4.716686479687858,0.31385,1.9766783622796371
ophthalmopone-berthoudi.obj,0.17225,0.24895,,0.3982640478404284,0.13718331096823613,3.5330443082572143,0.23965,1.895122376211717
pachycondyla-crassinoda.obj,0.19015,0.28375,,0.41128919750715937,0.15019588368078235,3.4723002150758138,0.2587,1.9938942946202403
paraponera-clavata.obj,0.28865,0.4457,,0.29782538046078105,0.13882341628043732,4.201392884460783,0.3472,1.8596532592523434
