name,contact_frac,contact_pairs_per_pt,hull_fill,area_over_hullarea,radial_med,radial_p95_over_med,limb_area_frac,extent_along_axis
Labidus_praedator_CASENT0744236_processed.obj,0.52525,1.072,,0.4956717600853711,0.15655332259555294,2.7161756572708278,0.1218,1.7486762903803423
Labidus_praedator_CASENT0744237_processed.obj,0.2416,0.3727,,0.6241254636548195,0.24133333582629143,2.905958104005266,0.10715,1.7712574218802195
Lasius_nr._fuliginosus_CASENT0878037_processed.obj,0.1809,0.234,,0.5534440283796936,0.19868636456152228,1.9502568593573588,0.04375,2.0524622791979334
Lioponera_daikoku_OKENT0105067_processed.obj,0.3437,0.38675,,1.0993892528908886,0.40583504560836,1.7218303890742332,0.0022,2.0119884616022703
Mayriella_sp._CASENT0745610_processed.obj,0.3053,0.31895,,1.463484139574488,0.26257846636625437,1.781311412364298,0.017,1.984943991179192
Mesoponera_ambigua_CASENT0745584_processed.obj,0.18775,0.22785,,0.8051840297446976,0.29301920654981695,2.2748608235477352,0.11195,2.0048852558123436
Myrmecina_ryukyuensis_OKENT0105085_processed.obj,0.373,0.6415,,0.7212660879815423,0.22522418078012368,2.167778622157313,0.0632,1.880314514191871
Myrmecina_sp._CASENT0745613_processed.obj,0.22815,0.29205,,0.8707165852094542,0.27725070978024796,2.390821426282251,0.077,1.8232411914095303
Nesomyrmex_angulatus_CASENT0744820_processed.obj,0.34735,0.4003,,1.368687454210734,0.2705704074565551,1.7124138342141488,0.0078,1.9907056492530963
Odontomachus_troglodytes_CASENT0744970_processed.obj,0.29355,0.39045,,0.5935637524113381,0.2265958917523641,1.9402152117718765,0.03275,1.7631257486576297
Oxyopomyrmex_saulcyi_CASENT0745218_processed.obj,0.55885,0.68075,,1.466966427386732,0.2443189428449936,2.073569008485485,0.06115,1.7506379809544954
Polyrhachis_decemdentata_CASENT0744779_processed.obj,0.3028,0.48835,,0.8986928583297763,0.2505452899306292,2.447478299653398,0.1055,1.6680548502641985
Polyrhachis_dives_CASENT0878093_processed.obj,0.0532,0.0518,,0.7725522625116676,0.3382346120921163,2.1712344917527155,0.0867,1.8974083762925762
Ponera_kohmoku_OKENT0105440_processed.obj,0.47945,0.90595,,0.9496122304889569,0.18558304281848936,2.2635332941400486,0.0869,1.8836509445388714
Ponera_tamon_OKENT0105154_processed.obj,0.6521,1.43995,,1.1600859061926396,0.13791613455855034,2.08293296898226,0.06145,1.8342839267327329
Pseudolasius_sp._CASENT0878065_processed.obj,0.118,0.1504,,0.8428624259814302,0.28926675959477804,2.295958953912368,0.09155,1.852470443372207
Pseudomyrmex_cf.solis_CASENT0744065_processed.obj,0.4448,0.97415,,0.887115079740173,0.15627591875617336,2.018455192963941,0.0535,1.950083260379618
Solenopsis_invicta_CASENT0744384_processed.obj,0.54805,0.61005,,1.3732403443793233,0.2931703061128591,1.987870669648777,0.0477,1.7181087761708724
Stigmatomma_FHG02_CASENT0745561_processed.obj,0.39405,0.54265,,0.666544307387343,0.2931035774289422,2.3581132572902477,0.104,2.0078687025968507
